3.1 ACCEPT DATE
3.2 ACTIVATE POLICYSET
3.3 ASSIGN DEFMGMTCLASS
3.4 AUDIT
3.4.1 AUDIT CONTAINER
3.4.1.1 AUDIT CONTAINER
3.4.1.2 AUDIT CONTAINER
3.4.2 AUDIT LDAPDIRECTORY
3.4.3 AUDIT LIBRARY
3.4.4 AUDIT LIBVOLUME
3.4.5 AUDIT LICENSES
3.4.6 AUDIT VOLUME
3.5 BACKUP
3.5.1 BACKUP DB
3.5.2 BACKUP DEVCONFIG
3.5.3 BACKUP NODE
3.5.4 BACKUP STGPOOL
3.5.5 BACKUP VOLHISTORY
3.6 BEGIN EVENTLOGGING
3.7 CANCEL
3.7.1 CANCEL EXPIRATION
3.7.2 CANCEL EXPORT
3.7.3 CANCEL PROCESS
3.7.4 CANCEL REPLICATION
3.7.5 CANCEL REQUEST
3.7.6 CANCEL RESTORE
3.7.7 CANCEL SESSION
3.8 CHECKIN LIBVOLUME
3.9 CHECKOUT LIBVOLUME
3.10 CLEAN DRIVE
3.11 COMMIT
3.12 CONVERT STGPOOL
3.13 COPY
3.13.1 COPY ACTIVEDATA
3.13.2 COPY CLOPTSET
3.13.3 COPY DOMAIN
3.13.4 COPY MGMTCLASS
3.13.5 COPY POLICYSET
3.13.6 COPY PROFILE
3.13.7 COPY SCHEDULE
3.13.7.1 COPY SCHEDULE
3.13.7.2 COPY SCHEDULE
3.13.8 COPY SCRIPT
3.13.9 COPY SERVERGROUP
3.14 DEACTIVATE DATA
3.15 DECOMMISSION
3.15.1 DECOMMISSION NODE
3.15.2 DECOMMISSION VM
3.16 DEFINE
3.16.1 DEFINE ALERTTRIGGER
3.16.2 DEFINE ASSOCIATION
3.16.3 DEFINE BACKUPSET
3.16.4 DEFINE CLIENTACTION
3.16.5 DEFINE CLIENTOPT
3.16.6 DEFINE CLOPTSET
3.16.7 DEFINE COLLOCGROUP
3.16.8 DEFINE COLLOCMEMBER
3.16.9 DEFINE COPYGROUP
3.16.9.1 DEFINE COPYGROUP
3.16.9.2 DEFINE COPYGROUP
3.16.10 DEFINE DATAMOVER
3.16.11 DEFINE DEVCLASS
3.16.11.1 DEFINE DEVCLASS
3.16.11.2 DEFINE DEVCLASS
3.16.11.3 DEFINE DEVCLASS
3.16.11.4 DEFINE DEVCLASS
3.16.11.5 DEFINE DEVCLASS
3.16.11.6 DEFINE DEVCLASS
3.16.11.7 DEFINE DEVCLASS
3.16.11.8 DEFINE DEVCLASS
3.16.11.9 DEFINE DEVCLASS
3.16.11.10 DEFINE DEVCLASS
3.16.11.11 DEFINE DEVCLASS
3.16.11.12 DEFINE DEVCLASS
3.16.11.13 DEFINE DEVCLASS
3.16.12 DEFINE DEVCLASS
3.16.12.1 DEFINE DEVCLASS
3.16.12.2 DEFINE DEVCLASS
3.16.12.3 DEFINE DEVCLASS
3.16.12.4 DEFINE DEVCLASS
3.16.13 DEFINE DOMAIN
3.16.14 DEFINE DRIVE
3.16.15 DEFINE EVENTSERVER
3.16.16 DEFINE GRPMEMBER
3.16.17 DEFINE LIBRARY
3.16.17.1 DEFINE LIBRARY
3.16.17.2 DEFINE LIBRARY
3.16.17.3 DEFINE LIBRARY
3.16.17.4 DEFINE LIBRARY
3.16.17.5 DEFINE LIBRARY
3.16.17.6 DEFINE LIBRARY
3.16.17.7 DEFINE LIBRARY
